Year,Emissions
1990,420
1991,421
1992,426
1993,426
1994,426
1995,436
1996,443
1997,455
1998,469
1999,474
2000,485
2001,493
2002,497
2003,499
2004,516
2005,522
2006,527
2007,535
2008,538
2009,542
2010,539
2011,540
2012,544
2013,533
2014,527
2015,538
2016,549
2017,554
2018,557
2019,559
